date,amount,balance,description,category
2026-05-14,5.46,3198.24,Amazon Purchase,Charge
2026-05-13,12.02,3192.78,Chowit,Charge
2026-05-08,71.90,3180.76,Amazon Purchase,Charge
2026-05-04,15.32,3108.86,Amazon Purchase,Charge
2026-04-29,14.95,3093.54,Audible Subscription,Charge
2026-04-26,48.75,3078.59,Interest Charge,Charge
2026-04-20,14.99,3929.84,Amazon Purchase,Charge
2026-04-20,900.00,3029.84,Chase Credit Card Manual Payment,Payment
2026-04-15,49.25,3914.85,Amazon Purchase,Charge
2026-04-14,5.46,3865.60,Amazon Purchase,Charge
2026-04-02,76.62,3860.14,Amazon Purchase,Charge
2026-03-26,42.15,3783.52,Interest Charge,Charge
2026-03-20,14.99,3741.37,Amazon Purchase,Charge
2026-03-17,10.94,3926.38,Amazon Purchase,Charge
2026-03-17,200.00,3726.38,Chase Credit Card Manual Payment,Payment
2026-03-14,3.27,3915.44,Amazon Purchase,Charge
2026-03-09,40.76,3912.17,TST* MCIKO - BURGER SHED,Charge
2026-03-07,29.32,3871.41,JASONS DELI OLATHE OL,Charge
2026-03-06,87.56,3601.26,Amazon Purchase,Charge
2026-03-06,240.83,3842.09,Amazon Purchase,Charge
2026-03-03,349.47,3513.70,Costco Grocery,Charge
2026-02-28,14.95,3164.23,Audible Subscription,Charge
2026-02-26,36.88,3149.28,Interest Charge,Charge
2026-02-23,41.00,3112.40,Chase Credit Card Auto Payment,Payment
2026-02-20,14.99,3153.40,Amazon Purchase,Charge
2026-02-15,32.79,3138.41,Amazon Purchase,Charge
2026-02-14,3.27,3105.62,Amazon Purchase,Charge
2026-02-09,10.00,3102.35,Chowit,Charge
2026-02-08,22.26,2180.04,Costco Gas,Charge
2026-02-08,912.31,3092.35,Costco Grocery,Charge
2026-02-05,156.51,2157.78,Amazon Purchase,Charge
2026-01-29,14.95,2001.27,Audible Subscription,Charge
2026-01-28,32.28,1986.32,Amazon Purchase,Charge
2026-01-26,22.37,1954.04,Interest Charge,Charge
2026-01-22,157.76,1931.67,SHAWNEE CYCLE PLAZA,Charge
2026-01-21,83.20,1407.57,Amazon Purchase,Charge
2026-01-21,1627.57,3035.14,SHAWNEE CYCLE PLAZA,Charge
2026-01-21,1261.23,1773.91,Chase Credit Card Manual Payment,Payment
2026-01-20,14.99,1324.37,Amazon Purchase,Charge
2026-01-19,48.15,1309.38,Amazon Purchase,Charge
2026-01-14,3.27,1261.23,Amazon Purchase,Charge
2026-01-03,3.99,1257.96,Prime Video *0I6970F63,Charge
