date,amount,balance,description,category,purchase_category
2026-05-31,0.57,511.71,Monthly Interest Paid,Credit,
2026-05-19,502.7,511.14,Deposit from LENDINGCLUB BANK EXT-XFER [PHONE_REDACTED],Credit,
2026-04-30,0.02,8.44,Monthly Interest Paid,Credit,
2026-03-31,0.73,8.42,Monthly Interest Paid,Credit,
2026-03-13,500,7.69,Withdrawal from LENDINGCLUB BANK DIRECT DB,Debit,
2026-03-05,500,507.69,Capital One Payment,Debit,Credit Card Payment
2026-02-28,1.66,1007.69,Monthly Interest Paid,Credit,
2026-02-11,500,1006.03,Deposit from Brennan's Checking,Credit,Deposit
2026-02-06,500,506.03,Deposit from Brennan's Checking,Credit,Deposit
2026-01-31,0.02,6.03,Monthly Interest Paid,Credit,
